word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,margin_local,local_top_atom,l2_self,focus_rate
agent,n,SOC.official,0.917912,0.896854,ABS.exempt,0.021057,0.021058,ABS.exempt,4.549122,0.6335
arthropod family,n,SOC.family,0.642983,0.79493,FND.number,-0.151948,0.021073,SOC.nation,8.871718,0.4524
farness,n,PRP.far,0.668432,0.802262,SOC.public,-0.13383,0.021073,SOC.village,8.997806,0.5906
burn,n,STA.pain,0.963323,0.95548,STA.illness,0.007842,0.021079,STA.illness,5.35276,0.5996
pontificate,v,COM.speak,0.903253,0.90959,SOC.request,-0.006338,0.02108,ECO.pay,5.660367,0.4322
declination,n,ACT.fall,0.760111,0.787082,BEI.root,-0.026971,0.021082,PRP.dry,11.567735,0.6392
Bombax malabarica,n,NAT.tree,0.959796,0.938705,PRP.high,0.021091,0.021091,PRP.high,5.836361,0.7853
incognizant,adj,COG.ignorance,0.918555,0.897457,FND.memoryless,0.021098,0.021098,FND.memoryless,6.155983,0.8662
sissoo,n,NAT.tree,0.869364,0.89966,PRP.possible,-0.030297,0.02111,MAT.clothing,9.661848,0.603
menace,v,STA.danger,0.794075,0.821182,ACT.destroy,-0.027106,0.02111,ECO.loss,15.26925,0.4436
ward,v,EXS.being,0.65203,0.630911,FND.time,0.021119,0.021119,FND.time,8.160108,0.4103
equivocate,v,VAL.falsehood,0.915198,0.894062,VAL.incorrect,0.021136,0.021137,VAL.incorrect,4.893226,0.4011
sugariness,n,PER.sweet,0.939115,0.917974,PER.fragrance,0.02114,0.021141,PER.fragrance,7.18712,0.6274
news,n,FND.information,0.840233,0.819091,COM.question,0.021142,0.021142,COM.question,8.530136,0.8348
salve,v,STA.healing,0.928278,0.907128,EXS.vitality,0.02115,0.02115,EXS.vitality,5.292039,0.4954
hominine,adj,BEI.human,0.787657,0.768802,PRP.far,0.018856,0.021152,ELM.star,9.077481,0.4991
hagridden,adj,EMO.worry,0.936125,0.917699,ECO.loss,0.018425,0.021155,ABS.foolish,4.753153,0.5911
qualify,v,SOC.individual,0.898847,0.937517,COG.learn,-0.03867,0.021158,PRP.single,6.380696,0.6562
