word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,l2_self,focus_rate,re_observed
droning,n,BOD.mouth,0.79864,0.859225,BOD.face,-0.060586,7.783504,0.5465,True
eating,n,BOD.mouth,0.79864,0.859225,BOD.face,-0.060586,8.618284,0.7348,True
interviewee,n,BOD.mouth,0.79864,0.859225,BOD.face,-0.060586,7.709013,0.62,True
piffle,n,BOD.mouth,0.79864,0.859225,BOD.face,-0.060586,7.709013,0.7552,True
pontificate,v,BOD.mouth,0.79864,0.859225,BOD.face,-0.060586,8.618284,0.8064,True
troll,v,BOD.mouth,0.79864,0.859225,BOD.face,-0.060586,7.783504,0.5465,True
constant quantity,n,FND.number,0.607005,0.667587,FND.ahistorical,-0.060582,16.007802,0.4319,False
king-size,adj,PRP.large,0.903139,0.963721,PER.untouched,-0.060582,12.882065,0.4319,False
neighborhood,n,LOG.cause,0.632662,0.693243,ACT.build,-0.060581,11.964455,0.6139,False
acclimatization,n,FND.transformation,0.709977,0.770554,LOG.effect,-0.060577,15.795034,0.3531,False
even,n,ELM.sun,0.734515,0.795064,WLD.outer_realm,-0.060549,14.624577,0.4521,False
solace,n,STA.comfort,0.820207,0.880749,EMO.respect,-0.060542,9.913876,0.4901,False
backdown,n,ACT.move,0.830332,0.890868,PRP.blunt,-0.060536,6.833873,0.4148,False
agronomy,n,SOC.individual,0.860084,0.92062,ECO.save,-0.060536,7.217837,0.6132,False
resolution,n,LOG.effect,0.650671,0.7112,CHG.end,-0.060529,10.397672,0.5535,True
nutrient,adj,MAT.food,0.824886,0.885406,NAT.sea,-0.06052,8.771205,0.6934,False
bust,v,LOG.cause,0.79636,0.856879,STA.war,-0.060518,8.246721,0.3176,False
wolf,n,BEI.beast,0.889902,0.950417,PRP.far,-0.060515,8.017328,0.8133,False
scholar,n,SOC.individual,0.874006,0.934521,COG.learn,-0.060515,7.054788,0.8801,False
needer,n,SOC.individual,0.888675,0.949183,REL.alone,-0.060508,7.163804,0.7538,False
clincher,n,MAT.tool,0.856357,0.916864,PRP.hot,-0.060507,7.78436,0.7838,False
pig,n,ACT.create,0.809329,0.869827,ACT.emit,-0.060498,9.296152,0.5037,False
girlhood,n,BEI.female,0.815869,0.876368,FND.mind,-0.060498,14.477562,0.5128,False
garb,v,MAT.clothing,0.830113,0.890602,ACT.emit,-0.060489,8.208463,0.947,False
immune,n,SOC.individual,0.869874,0.930343,PER.hear,-0.060468,6.78219,0.7641,False
streetwalker,n,ECO.sell,0.876622,0.937081,PER.tasteless,-0.060459,12.140202,0.5621,False
marathon,n,FND.labor,0.848774,0.909233,PRP.old,-0.060459,9.018438,0.4452,False
frigid,adj,PRP.cold,0.864508,0.924966,ELM.earth,-0.060457,5.75861,0.5812,False
chirp,v,ACT.emit,0.837224,0.897681,ACT.go,-0.060456,9.136361,0.7071,False
base,n,PRP.low,0.842343,0.902793,BEI.root,-0.060451,7.007325,0.9225,False
poll,v,MAT.clothing,0.808632,0.86908,STA.healing,-0.060449,9.095211,0.4962,True
parson's nose,n,PRP.part,0.882338,0.942787,PRP.near,-0.060448,6.268333,0.5708,False
germ,n,ACT.create,0.800582,0.861027,CHG.begin,-0.060445,10.968449,0.6738,False
